33,4,
199,9,
45,4,
48,4,
49,7,
41,10,
58,20,
52,8,
31,34,
44,19,
49,40,
58,45,
44,22,
55,19,
46,43,
52,32,
46,35,
51,27,
57,26,
58,30,
43,23,
55,37,
55,18,
43,22,
59,32,
37,41,
64,29,
45,16,
45,23,
56,39,
33,45,
41,33,
50,39,
54,35,
56,29,
46,41,
50,24,
49,33,
38,37,
55,36,
57,41,
61,12,
37,21,
53,32,
62,22,
46,13,
58,24,
59,36,
81,31,
48,26,
17,23,
46,21,
45,26,
39,31,
51,36,
36,31,
47,55,
54,27,
58,6,
57,42,
59,32,
61,25,
53,23,
35,38,
48,20,
51,43,
42,39,
54,35,
48,32,
53,44,
51,24,
49,10,
49,41,
60,39,
54,20,
72,30,
61,40,
44,24,
60,39,
68,37,
56,20,
38,15,
66,27,
58,17,
47,22,
37,16,
17,26,
31,29,
61,41,
40,33,
53,24,
51,9,
64,29,
53,23,
64,34,
38,24,
58,42,
44,33,
50,43,
63,28,
45,24,
55,20,
67,5,
49,38,
54,30,
40,59,
43,36,
56,19,
69,23,
51,19,
52,41,
55,8,
52,23,
62,21,
37,33,
63,25,
62,33,
43,25,
47,27,
42,37,
56,30,
62,37,
35,53,
39,25,
60,33,
53,22,
56,27,
53,25,
55,30,
44,29,
40,43,
47,42,
46,34,
35,15,
54,38,
54,64,
61,50,
52,19,
52,6,
40,25,
27,27,
44,31,
59,37,
36,45,
47,10,
51,37,
59,15,
42,37,
51,27,
59,23,
58,30,
50,30,
41,23,
24,45,
57,22,
38,33,
51,20,
41,17,
55,24,
64,53,
46,35,
57,20,
46,23,
66,37,
42,17,
40,23,
50,41,
40,40,
53,25,
44,27,
35,35,
46,23,
47,20,
57,26,
38,43,
54,45,
50,39,
33,24,
45,44,
31,31,
72,4,
48,55,
44,36,
56,20,
54,50,
49,29,
50,36,
61,23,
50,15,
67,43,
41,12,
39,31,
36,31,
45,27,
49,28,
48,45,
53,25,
35,44,
48,39,
69,40,
60,59,
52,39,
47,45,
40,30,
48,30,
55,37,
48,28,
58,40,
69,21,
51,21,
69,18,
53,37,
47,27,
64,26,
61,23,
49,28,
81,27,
56,25,
51,30,
54,40,
54,39,
44,27,
45,40,
42,22,
43,49,
51,31,
56,55,
51,24,
41,28,
53,27,
47,45,
43,34,
41,39,
45,42,
44,25,
53,30,
44,29,
59,35,
53,19,
45,25,
53,53,
50,51,
33,42,
46,33,
59,35,
48,32,
50,21,
38,30,
63,26,
57,14,
63,33,
58,30,
56,41,
52,3,
55,27,
29,34,
49,39,
31,33,
43,29,
48,34,
43,32,
53,36,
53,21,
60,8,
40,42,
49,21,
56,34,
66,32,
32,23,
37,25,
46,38,
57,33,
41,31,
47,36,
55,44,
56,25,
61,11,
61,38,
59,29,
26,22,
48,34,
50,33,
64,28,
23,15,
47,23,
59,33,
32,17,
48,25,
58,24,
51,25,
49,34,
16,36,
53,51,
57,19,
49,37,
38,16,
49,37,
48,30,
58,42,
45,39,
49,25,
71,49,
49,38,
63,21,
48,22,
50,34,
43,24,
49,23,
23,21,
36,30,
37,26,
46,35,
41,27,
66,36,
47,27,
33,35,
41,37,
56,9,
54,34,
53,47,
53,33,
48,37,
35,30,
58,28,
37,19,
42,16,
62,41,
51,35,
46,22,
51,33,
63,41,
56,39,
48,36,
30,37,
51,37,
61,24,
56,33,
41,13,
46,35,
53,39,
57,21,
53,45,
50,40,
62,37,
32,36,
43,15,
47,25,
41,4,
28,37,
53,40,
37,34,
48,46,
53,40,
43,33,
64,30,
59,38,
29,49,
45,39,
44,36,
51,13,
57,38,
57,34,
45,32,
66,33,
49,40,
49,21,
51,61,
29,30,
66,38,
52,30,
50,46,
63,40,
45,25,
38,22,
50,32,
48,23,
55,47,
53,48,
38,28,
38,21,
27,30,
34,35,
68,31,
60,28,
37,38,
59,24,
33,43,
43,6,
53,31,
45,33,
55,19,
68,18,
58,19,
43,19,
47,33,
47,28,
53,41,
57,37,
43,31,
38,21,
61,24,
62,41,
60,34,
53,20,
44,46,
43,50,
31,30,
41,37,
53,13,
48,18,
63,41,
55,22,
51,22,
39,34,
59,14,
57,14,
60,9,
63,21,
53,30,
58,9,
61,36,
49,24,
45,29,
50,21,
47,35,
45,28,
38,23,
44,24,
51,59,
51,36,
39,19,
49,26,
52,24,
55,29,
42,24,
52,25,
62,28,
32,16,
48,23,
45,12,
49,12,
37,14,
67,17,
48,32,
45,28,
52,22,
59,40,
31,37,
49,54,
51,25,
64,47,
58,42,
46,13,
65,34,
62,12,
51,38,
50,27,
63,27,
64,24,
54,36,
40,35,
52,40,
40,30,
59,42,
58,46,
55,34,
59,26,
65,39,
55,24,
62,40,
51,22,
48,24,
57,35,
47,34,
49,26,
59,30,
46,33,
51,37,
85,17,
40,35,
34,5,
45,4,
56,8,
38,5,
53,5,
50,7,
48,6,
55,3,
48,4,
55,6,
51,5,
43,9,
44,7,
43,5,
48,8,
52,6,
50,5,
45,5,
53,2,
53,4,
51,6,
64,6,
49,5,
59,7,
45,4,
60,7,
35,5,
43,6,
57,6,
47,7,
48,7,
52,3,
40,6,
42,3,
39,6,
67,4,
32,5,
41,9,
55,4,
49,4,
43,8,
33,5,
47,6,
47,7,
29,8,
52,2,
52,3,
58,6,
44,4,
59,7,
57,5,
46,6,
35,5,
42,10,
46,5,
29,1,
30,8,
65,8,
73,6,
41,3,
38,6,
49,4,
42,6,
44,4,
74,6,
41,7,
63,4,
59,4,
51,4,
